Company Name,Brief Description,Company ID,Founder Name,Geolocation,Last Valuation,Location City,Notable Investors,Pre-Seed Valuation and Date,Seed Valuation and Date,Series A Valuation and Date,Series B Valuation and Date,Series C Valuation and Date,Series D Valuation and Date,Series E Valuation and Date
Niqo Robotics,"Agricultural robotics with Niqo Sense AI camera for spot spraying achieving 60% chemical reduction. RoboThinner for precision lettuce farming automation. 100,000+ acres commercialized across India with expansion to US and Australia markets. Carnegie Mellon engineering pedigree applied to Indian agriculture challenges. Focus on sustainable farming through AI-driven precision agriculture. Addressing herbicide resistance and environmental concerns through targeted application technology.",niqo-robotics,"Jaisimha Rao (Founder/CEO, Carnegie Mellon engineer, ex-BlackRock Wall Street, formerly TartanSense)","12.9716, 77.5946",Est. $60M (Series B 2024),"Bengaluru, Karnataka, India","Bidra Innovation Ventures (lead), Omnivore Partners, Blume Ventures, BEENEXT, FMC Ventures (strategic agricultural), Fulcrum Global Capital",N/A,$2M - 2019,$6M - Aug 2021,$13M at Est. $60M - Apr 2024,N/A,N/A,N/A
FuturHand Robotics,"CMU Robotics Institute spinout developing advanced dexterous robotic hands called 'Skill-Augmented Hands' for complex manufacturing tasks. Currently deployed in pilot testing at Bosch manufacturing facilities for precision cable plug insertion and assembly operations. $5M National Science Foundation funding validates technology readiness. Led by CMU Professor Nancy Pollard (leading expert in hand manipulation research) and PhD graduates. Focus on solving fine motor skill gaps in industrial robotics. Targets automotive, electronics, and aerospace assembly applications.",futurhand-robotics,"Nancy Pollard (CMU professor), Dominik Bauer (CMU PhD), Cornelia Bauer (CMU PhD)","40.4406, -79.9959",$5M NSF funding,"Pittsburgh, PA","National Science Foundation (NSF), Bosch (testing partner)",N/A,$5M NSF Grant - 2021,N/A,N/A,N/A,N/A,N/A
PickNik Robotics,MoveIt Pro (formerly MoveIt Studio) robotics software platform for manipulation in unstructured environments. Open-source MoveIt motion planning framework with 80M+ downloads. NASA Artemis lunar robotics mission partner for autonomous manipulation. U.S. Space Force autonomous satellite capture systems. Government-validated technology with $5M+ NASA/Space Force SBIR contracts. Focus on making advanced robot manipulation accessible through intuitive software interfaces.,picknik-robotics,"Dave Coleman (Founder/Chairman, ex-Google Robotics/Willow Garage, 2015), Dave Grant (CEO), Nathan Brooks (CTO)","40.0150, -105.2705",Est. $15M (Pre-Seed 2023),"Boulder, Colorado","Stellar Ventures (lead), Cypress Growth Capital, NASA SBIR ($850K Phase II), U.S. Space Force ($1.7M SpaceWERX SBIR), Calibrate Ventures, Keiretsu Forum, TechStars alumni network",$2M - Oct 2023,SBIR: $5M+ - 2018-2025,N/A,N/A,N/A,N/A,N/A
Anthropic Robotics,"Humanoid robotics company with $75M Series A from top-tier Silicon Valley VCs (Andreessen Horowitz, Sequoia Capital, Founders Fund). Direct competitor to Figure AI ($2.6B valuation) and Tesla Optimus in general-purpose humanoid space. Massive VC backing signals high confidence but also high-risk, high-reward bet on humanoid robotics future. Focus on transformative robotics technology for manufacturing, logistics, and domestic applications. Well-funded to pursue multi-year development before commercialization. Likely 2026-2027 product demonstrations. Top-tier investor syndicate provides validation and network effects.",anthropic-robotics,"High-profile robotics entrepreneurs (names stealth), likely from major robotics or AI companies","37.7749, -122.4194",$400M (est. Series A 2024),"San Francisco, CA","Andreessen Horowitz (a16z), Sequoia Capital, Founders Fund",N/A,Est. $10M - 2023,$75M - 2024 (est. $400M valuation),N/A,N/A,N/A,N/A
Sunday Robotics,"Home robotics company founded by combined Tesla Optimus diaspora and Toyota Research Institute alumni. Developing first robotics foundation model trained purely on human movement data - revolutionary data collection methodology. Toyota Research Institute brings complimentary strengths (manipulation research, simulation). Tesla Optimus brings production mindset and vision AI. Strategic positioning at inflection point of domestic robotics market. Focus on household tasks with foundation model enabling broad generalization. Highly credentialed team with tier-1 venture backing.",sunday-robotics-2,"Ex-Tesla Optimus and Toyota Research Institute team (names stealth), multi-company robotics veterans","37.7749, -122.4194",$30M (est. seed 2024),"San Francisco, CA",Tier-1 venture backing,N/A,Est. $30M - 2024 (tier-1 VCs),N/A,N/A,N/A,N/A,N/A
Foundation Robotics,"Stealth-mode humanoid robotics startup founded by non-roboticist entrepreneur betting on execution speed over domain expertise. Developing Phantom MK1 bipedal humanoid robot targeting factory automation and military/defense applications. 13-month concept-to-deployment timeline claim. Thesis: modern software engineering practices, rapid iteration, and commercial urgency can outpace traditional robotics research approaches. Small team leveraging contractor networks and rapid prototyping. Controversial approach in robotics community.",foundation-robotics,"Sankaet Pathak (Founder/CEO, ex-Zellis co-founder, fintech/SaaS background, non-traditional robotics entrepreneur emphasizing speed over deep tech expertise)","37.7749, -122.4194",$5M (est. seed 2024),"San Francisco, CA",Undisclosed,Est. $1M - 2023,Est. $5M - 2024,N/A,N/A,N/A,N/A,N/A
Hlabs Robotics,"Y Combinator W23 batch company creating modular plug-and-play robotic component ecosystem with open-source software libraries. 'Arduino for robotics' vision - standardized modules (motors, sensors, controllers, actuators) with universal interfaces. Open-source ROS-compatible software stack. Targeting maker community, education sector, and rapid prototyping market. Democratizing robotics development by reducing barriers to entry. Community-driven approach with GitHub repositories and developer forums.",hlabs-robotics,"Paul (Full name not disclosed, Y Combinator second-time founder, previously built hardware startup)","37.7749, -122.4194",$2M (YC seed funding 2023),"San Francisco, CA",Y Combinator,N/A,$2M - 2023 (Y Combinator batch),N/A,N/A,N/A,N/A,N/A
Diligent Robotics,"Creator of AI-powered service robots for healthcare environments, including Moxi robot",diligent-robotics,"Andrea Thomaz, Vivian Chu","30.267153, -97.743061",Est. $150M - Feb 2025,"Austin, TX (2400 E Cesar Chavez St)","DNX Ventures, True Ventures, Next Coast Ventures, Ubiquity Ventures, Capital Factory, Boom Capital",$3M - December 2018,$10M - February 2020,$30M - December 2021,N/A,N/A,N/A,N/A
Deep Robotics Technology Co.,"Chinese quadruped robotics company developing advanced four-legged robots for inspection, security, and industrial applications. Part of Hangzhou robotics innovation cluster. X20/X30 series quadrupeds compete with Boston Dynamics Spot and Unitree models. Focus on high-terrain mobility, payload capacity, and autonomous navigation. Strong presence in Chinese industrial and government sectors. Benefits from regional manufacturing ecosystem and AI talent concentration.",deep-robotics-technology-co,"Zhao Hangbiao (CEO, Zhejiang University PhD in Robotics, ex-DJI engineer, specialist in legged locomotion control)","30.2741, 120.1551",$150M (est. Series B 2023),"Hangzhou, China","Shenzhen Capital Group, Hillhouse Capital, Sequoia China, Matrix Partners China, Chinese government robotics funds",N/A,$5M - 2017,$20M - 2019,$50M - 2022,N/A,N/A,N/A
Piggy Robotics,Mass-producible humanoid robots for household chores using proprietary artificial muscle technology. Braided fiber tubes with single pump architecture for low-cost actuation. $1-2K target price point (iPhone cost equivalent). 22-degree-of-freedom dexterous hands. 15+ Oxford engineers team. Focus on affordable consumer humanoids through manufacturing innovation rather than complex hardware. Y Combinator F2025 cohort targeting mass-market deployment.,piggy-robotics,"Richard Gong (Co-founder, ex-Oxford Medicine student), Chenny (Qianyi) Deng (Co-founder, Oxford PhD CS, ex-Tencent AI)","51.7520, -1.2577",Est. $5M (YC F2025),"Oxford, UK / San Francisco, CA (YC)",Y Combinator (F2025 cohort),N/A,Est. $500K YC - Fall 2025,N/A,N/A,N/A,N/A,N/A
Unitree Robotics,"Leading Chinese robotics company with profitable operations since 2020, 1B+ yuan annual revenue. Go1/Go2 quadruped robots ($1,600-$3,500) and H1/G1 humanoid robots ($16,000-$90,000). 50-90% cost advantage over Western competitors through vertical integration and Chinese manufacturing. Mass production capabilities with 10,000+ units deployed globally. Focus on consumer, industrial, and research markets with affordable yet capable robotic platforms.",unitree-robotics,"Wang Xingxing (Founder/CEO, born 1990, ex-DJI engineer, Shanghai University graduate 2016)","30.2741, 120.1551",$1B+ (Series C 2025),"Hangzhou, Zhejiang, China","Sequoia China Seed Fund, Matrix Partners China, Shunwei Capital, Shenzhen Capital Group, Meituan (strategic), Tencent (strategic), Alibaba (strategic), China Mobile, Ant Group, Geely Capital (automotive strategic)",N/A,Est. $5M - 2017,Est. $25M - 2021,Est. $50M - 2022 + $138M - Feb 2024,Est. $200M - 2025,N/A,N/A
CMR Surgical,"UK-based surgical robotics company developing Versius surgical robot system. Modular, portable surgical robot designed to be more accessible and affordable than da Vinci. Next-generation minimal access surgery with smaller footprint and lower cost. One of Europe's most valuable health tech companies.",cmr-surgical,Massimiliano (Max) Colella,"52.2053, 0.1218",$3B+ (2021-2023),"Cambridge, UK","SoftBank Vision Fund 2, Cambridge Innovation Capital, LGT Lightstone Aspada, Ally Bridge Group, Abu Dhabi Investment Authority, Celeres, Escala Capital",N/A,$2.5M - 2014,$46M - Sept 2017 (led by Cambridge Innovation Capital),$100M - June 2018 (led by LGT Lightstone Aspada),£195M/$240M - Sept 2019 (led by SoftBank Vision Fund 2),$600M - June 2021 (led by SoftBank Vision Fund 2 & Ally Bridge Group),$165M - late 2023 + $200M+ - April 2025 (led by Abu Dhabi Investment Authority)
Kiwibot,"Campus delivery robot company serving universities across US and internationally. Over 200 robots deployed, 400K+ deliveries completed. Focus on college campuses and urban areas with food delivery from local restaurants. Raised significant funding from Latin American and US investors.",kiwibot,"Felipe Chávez Cortés, Sergio Pachón, David Rodriguez","37.8715, -122.2730",$25M valuation cap - August 2020 (Wefunder),"Berkeley, CA","Berkeley SkyDeck, Sodexo, Headline, House of Lithium, Kineo Finance, DILA Capital, Bling Capital, SV Latam Capital",$100K - December 2018 (Berkeley SkyDeck),$679K - August 2020 (Wefunder crowdfunding),"$7.5M - February 2022 (Sodexo, Headline, House of Lithium)",$10M - February 2023 (Kineo Finance asset financing),$12M - April 2025 (Later-stage VC),N/A,N/A
Nuro,"Autonomous delivery robots and vehicles for last-mile logistics. Designs custom-built zero-occupant vehicles for goods transportation. Partners with Kroger, Walmart, FedEx, Domino's, CVS, 7-Eleven. R2 vehicle first autonomous delivery vehicle approved by U.S. DOT. Focus: Computer Vision, Lidar, Autonomous Navigation, Machine Learning, Custom Vehicle Design. Over 1M autonomous deliveries completed. Founded 2016. ~1,200 employees.",nuro,"Dave Ferguson (Robotics PhD, former Google/Waymo engineer, 15+ years autonomous vehicle experience), Jiajun Zhu (Robotics engineer, former Google/Waymo principal engineer, computer vision expert)","37.3861,-122.0839",$8.6 billion (est. 2021),"Mountain View, California, USA","SoftBank Vision Fund, Greylock Partners, Gaorong Capital, Baillie Gifford, T. Rowe Price, Fidelity Investments, Tiger Global Management, Google, Kroger",Not applicable - started with substantial founding team resources,$92M - July 2017,$940M - February 2018,$2.7B - February 2019,$5.3B - November 2019,$8.6B - November 2021 ($600M raised),N/A
Starship Technologies,"Autonomous delivery robots founded by Skype creators. Fleet of 2,700+ six-wheeled sidewalk robots delivering food, groceries, and packages. 9M+ autonomous deliveries completed across 270 locations in 7 countries. Focus on last-mile delivery for university campuses, urban neighborhoods, and business districts. Operates autonomously on sidewalks at walking speed. Partnership model with universities, cities, and retailers.",starship-technologies,"Ahti Heinla (CEO/CTO, ex-Skype co-founder), Janus Friis (Co-founder, ex-Skype co-founder, founded 2014)","59.4370, 24.7536",$550M (Series C 2024),"Tallinn, Estonia (HQ) / San Francisco, California (operations)","Plural (co-lead), Iconical (co-lead), Daimler/Mercedes-Benz Innovation Lab, NordicNinja VC, Taavet+Sten (Wise/Skype founders), Matrix Partners, Shasta Ventures, Morphosis Capital, Goodyear Ventures, TDK Ventures, European Investment Bank",N/A,$17.2M - Jan 2017,$40M - Aug 2019,$42M - Mar 2022,$90M at $550M - Jan 2024 + $50M extension - Oct 2025,N/A,N/A
Brain Corp,Developer of AI-powered autonomous navigation and control systems for commercial floor-cleaning robots and other mobile machines,brain-corp,Eugene Izhikevich,"32.715738, -117.161084","$600M (Series C, March 2020)","San Diego, CA","Qualcomm Ventures (lead), SoftBank Group, Draper Fisher Jurvetson, Uncork Capital, Taner Halicioglu",N/A,$8M - August 2014,$36M - March 2017,$114M - July 2018,N/A,N/A,N/A
Avidbots,"Commercial floor cleaning robot manufacturer. Neo autonomous floor scrubber deployed in airports, retail, warehouses. Over 2,000 robots cleaning 2B+ sq ft. Robotics-as-a-Service model with fleet management software. Focus on large commercial spaces requiring consistent cleaning.",avidbots,"Pablo Molina, Faizan Sheikh","43.4643, -80.5204",$70M+ (Series B),"Kitchener, ON, Canada","True Ventures, Cyrus Capital, Export Development Canada",N/A,N/A,N/A,N/A,N/A,N/A,N/A
